CustomerID,Name,Age,Gender,Phone,City,State,Country,JoinDate,LastPurchaseDate,TotalPurchases, AmountSpent ,ProductCategory,Rating
1001,Alice Johnson,29,Female,9876543210,Mumbai,Maharashtra,India,15-03-21,20-11-24,12,15400.5,Electronics,4.5
1002,Bob Smith,35,Male,8765432109,Delhi,Delhi,India,22-07-20,05-10-24,8,8200,Clothing,3.8
1003,Carol White,28,female,,Bangalore,Karnataka,India,10-01-22,01-12-24,5,4500.75,Books,4.2
1004,David Brown,45,MALE,7654321098, ,Tamil Nadu,India,30-11-19,15-08-23,20,32000,Electronics,2.9
1005,Eve Davis,32,,6543210987,Hyderabad,Telangana,India,18-06-21,30-09-24,10,11000.25,Beauty,4.7
1006,Frank Miller,150,Male,,Pune,Maharashtra,India,28-02-23,11-11-24,3,   ,Clothing,3.5
1007,Grace Lee,27,Female,4321098765,Kolkata,West Bengal,India,14-08-22,22-10-24,7,7300.5,Books,4
1008,Henry Wilson,38,Male,3210987654,Jaipur,Rajasthan,India,05-05-20,19-07-24,15,19500,Electronics,3.2
1009,Isla Martin,-5,Female,,Lucknow,Uttar Pradesh,India,21-09-21,30-08-24,6,   ,Beauty,4.8
1010,Jack Taylor,41,Male,1098765432,Ahmedabad,Gujarat,India,17-03-19,25-12-23,18,24000.75,Home,3.6
1011,Alice Johnson,29,Female,9876543210,NULL,Maharashtra,India,15-03-21,20-11-24,12,15400.5,Electronics,4.5
1012,Karen Hall,33,Female,,Surat,Gujarat,India,09-11-22,10-12-24,4,3800,Clothing,
1013,Leo Young,26,Male,8901234567,Nagpur,Maharashtra,India,15-04-23,05-11-24,2,1500,Books,4.1
1014,Mia Scott,36,Female,7890123456,Bhopal,Madhya Pradesh,India,30-07-21,18-06-24,9,9700.5,Beauty,3.9
1015,Nate King,44,Male,6789012345,Visakhapatnam,Andhra Pradesh,India,01-12-20,14-01-24,16,21000,Electronics,2.5
1016,Olivia Adams,31,Female,5678901234,Indore,Madhya Pradesh,India,25-04-22,29-10-24,6,6400.25,Home,4.6
1017,Paul Baker,39,Male,4567890123,Patna,Bihar,India,13-01-21,07-09-24,11,13200,Clothing,3.3
